CUSTOMER_ID,CUSTOMER_NAME,ACCOUNT_IDENTIFIER,BUSINESS_ENTITY_DESCR,RU_BK_PRODUCT_FAMILY_ID,BK_PRODUCT_ID,COVERED_ITEM_QTY,SERVICE_LIST_PRICE,ANNUALIZED_EXTENDED_CONTRACT_LINE_LIST_USD_AMOUNT,UNCOVERED_ITEM_QTY,UNCOVERED_SNTC_LIST_PRICE,UNCOVERED_SSPT_LIST_PRICE,PRODUCT_UNIT_LIST_PRICE
203721067,ARAMCO SERVICES COMPANY,SAV,IOT Software,IOTSW,IOT-OTHER,2.0,0.0,0.0,2.0,,,0.0
203721067,ARAMCO SERVICES COMPANY,SAV,IOT Software,IOTSW,IOT-OIL-GAS,2.0,0.0,0.0,4.0,,,0.0
203721067,ARAMCO SERVICES COMPANY,SAV,Enterprise Networking,3KAGG,WS-C3850-12XS-S,1.0,3811.05,3811.05,2.0,2540.7,3020.36,11340.09
203721067,ARAMCO SERVICES COMPANY,SAV,Enterprise Routing,4300ISR,MEM-FLSH-4G,6.0,0.0,0.0,1.0,,,0.0
203721067,ARAMCO SERVICES COMPANY,SAV,Collaboration,ICVSW,FL-CUBEE-5,1.0,0.0,0.0,2.0,,,0.0
203721067,ARAMCO SERVICES COMPANY,SAV,Wireless,AIRCMN,AIR-AP-BRACKET-1,4.0,0.0,0.0,15.0,,,0.0
203721067,ARAMCO SERVICES COMPANY,SAV,Data Center Switching,SFPGE,GLC-LH-SMD=,0.41158,0.0,0.0,1.0,,,73.083944
203721067,ARAMCO SERVICES COMPANY,SAV,Security,TA,L-FPR4140T-T=,2.0,47592.33,95184.66,2.0,,,0.0
203721067,ARAMCO SERVICES COMPANY,SAV,Enterprise Routing,4400ISR,NIM-BLANK,2.0,0.0,0.0,2.0,,,0.0
203721067,ARAMCO SERVICES COMPANY,SAV,Enterprise Networking,SFPGE,GLC-LH-SMD=,20.23632,0.0,0.0,1.0,,,3593.3477759999996
203721067,ARAMCO SERVICES COMPANY,SAV,IOT Software,IOTSW,NO-IOT-SOLUTION,2.0,0.0,0.0,2.0,,,0.0
203721067,ARAMCO SERVICES COMPANY,SAV,Enterprise Networking,C3850,PWR-C1-1100WAC,11.0,0.0,0.0,1.0,,,0.0
203721067,ARAMCO SERVICES COMPANY,SAV,Enterprise Networking,3KAGG,WS-C3850-24XS-S,2.0,11303.82,11303.82,2.0,3767.94,4478.46,33523.37999999998
