CUSTOMER_ID,CUSTOMER_NAME,ACCOUNT_IDENTIFIER,L1_SALES_TERRITORY_DESCR,L2_SALES_TERRITORY_DESCR,COVERAGE,SERVICE_CONTRACT_NUMBER,CONTRACT_LINE_STATUS,SERIAL_NUMBER,INSTANCE_NUMBER,INSTANCE_STATUS,PRODUCT_SALES_ORDER_NUMBER,CONTRACT_LINE_END_DATE,CONTRACT_LINE_END_FISCAL_QUARTER,CONTRACT_LINE_END_FISCAL_YEAR,SHIP_DATE,SHIP_MONTH_AGE,SHIPPED_FISCAL_YEAR,BK_PRODUCT_ID,PRODUCT_CATEGORY_CD,DV_GOODS_PRODUCT_CATEGORY_CD,BK_PRODUCT_TYPE_ID,RU_BK_PRODUCT_FAMILY_ID,COMPONENT_TYPE,CONTRACT_TYPE,SUB_BUSINESS_ENTITY_DESCR,BUSINESS_ENTITY_DESCR,LAST_SUPPORT_DT,LDOS_AGE,LDOS_FISCAL_YEAR,WARRANTY_TYPE,INSTALLATION_QUANTITY,LATEST_QUALIFICATION_STATUS,BILLTO_CUSTOMER_NAME,PF_BAND,BASE_PRICE_USD_AMT,PRODUCT_UNIT_LIST_PRICE,SNT,C2P,C4P,C4S,CS,SNC,SNTE,SNTP,ECMU,S2P,ECMUS,SSC2P,SSC4P,SSC4S,SSCS,SSNCO,SSSNC,SSSNE,SSSNP,SSSNT,5SNTP,REFRESH_DATE,SOURCE,EQUIPMENT_TYPE_DESCRIPTION,APPLIANCE_ID,INVENTORY,COLLECTION_DATE,HOSTNAME,IPADDRESS,IMPORTED_BY,ALERT_URL,SERVICE_PROGRAM,CONTRACT_END_DATE,EQUIPMENT_TYPE,UPDATED_DATE,ACCOUNT_ID,CONTRACT_LINE_STATUS_FROM_IB,LINE_STATUS,SSPT_YORN,SNTC_YORN
203721067,ARAMCO SERVICES COMPANY,SAV,Americas,US COMMERCIAL,NOT COVERED,0,,FDO2420M053,5543835380.0,Latest-INSTALLED,111732151,1900-01-01,19009.0,1900.0,2021-02-02,13.0,2021.0,WS-C2960XR-24TS-I,Hardware,HARDWARE,SWITCH,C2960XR,PARENT,UNKNOWN,Enterprise Switching - Access,Enterprise Networking,2027-10-31,-68,2028,Enhanced Limited Life Hardware Warranty,1,,"PRESIDIO NETWORKED SOLUTIONS GROUP, LLC",Mid,342.0,5930.02,366.6,917.54,734.24,664.85,458.77,443.0,531.26,586.15,,778.77,,1146.7,918.02,830.9,573.9,688.24,573.9,664.28,732.89,458.46,2292.32,2022-03-28,IB,,,,,,,,,,,,,,,MISS ATTACH 12mo - 24mo,Y,Y
203721067,ARAMCO SERVICES COMPANY,SAV,Americas,US COMMERCIAL,NOT COVERED,0,,FDO2532M02C,5610745679.0,Latest-INSTALLED,112962072,1900-01-01,19009.0,1900.0,2021-10-04,5.0,2022.0,WS-C2960XR-24TS-I,Hardware,HARDWARE,SWITCH,C2960XR,PARENT,UNKNOWN,Enterprise Switching - Access,Enterprise Networking,2027-10-31,-68,2028,Enhanced Limited Life Hardware Warranty,1,,INGRAM MICRO,Mid,342.0,3961.26,366.6,917.54,734.24,664.85,458.77,443.0,531.26,586.15,,778.77,,1146.7,918.02,830.9,573.9,688.24,573.9,664.28,732.89,458.46,2292.32,2022-03-28,IB,,,,,,,,,,,,,,,MISS ATTACH 3mo - 12mo,Y,Y
203721067,ARAMCO SERVICES COMPANY,SAV,Americas,US COMMERCIAL,NOT COVERED,0,,,5593640307.0,Latest-INSTALLED,112663152,1900-01-01,19009.0,1900.0,2021-07-23,8.0,2021.0,C1-PI-LFAS-2K3K-K9,Software,SOFTWARE,APPSWIND,SDNMGMT,CHILD,UNKNOWN,Wireless,Wireless,,0,0,Standard Warranty,1,,"PRESIDIO NETWORKED SOLUTIONS GROUP, LLC",,,0.0,,,,,,,,,,,,,,,,,,,,,,2022-03-28,IB,,,,,,,,,,,,,,,MISS ATTACH 3mo - 12mo,N,N
203721067,ARAMCO SERVICES COMPANY,SAV,Americas,US COMMERCIAL,NOT COVERED,0,,,5436598221.0,Latest-INSTALLED,109927945,1900-01-01,19009.0,1900.0,2020-02-08,25.0,2020.0,N1K-VLCPU-96-ESSTL,Hardware,SOFTWARE,BASE,N1000,CHILD,UNKNOWN,NX1K20875925,Data Center Switching,,0,0,Standard Warranty,1,,TELCOBUYCOM LLC,Mid,,0.0,,,,,,,,,,,,,,,,,,,,,,2022-03-28,IB,,,,,,,,,,,,,,,MISS ATTACH 24mo - 36mo,N,N
203721067,ARAMCO SERVICES COMPANY,SAV,Americas,US COMMERCIAL,NOT COVERED,0,,FDO2532M01E,5606290804.0,Latest-INSTALLED,112955157,1900-01-01,19009.0,1900.0,2021-10-04,5.0,2022.0,WS-C2960XR-24TS-I,Hardware,HARDWARE,SWITCH,C2960XR,PARENT,UNKNOWN,Enterprise Switching - Access,Enterprise Networking,2027-10-31,-68,2028,Enhanced Limited Life Hardware Warranty,1,,INGRAM MICRO,Mid,342.0,3961.26,366.6,917.54,734.24,664.85,458.77,443.0,531.26,586.15,,778.77,,1146.7,918.02,830.9,573.9,688.24,573.9,664.28,732.89,458.46,2292.32,2022-03-28,IB,,,,,,,,,,,,,,,MISS ATTACH 3mo - 12mo,Y,Y
203721067,ARAMCO SERVICES COMPANY,SAV,Americas,US COMMERCIAL,NOT COVERED,0,,FEC9701626BD4B8CF4DB6503AEC83F69D23AC1DEDB50149827F86D35C4981C09,5280234350.0,Latest-INSTALLED,107299749,1900-01-01,19009.0,1900.0,2018-10-18,41.0,2019.0,L-SL-29-SEC-K9=,Software,SOFTWARE,BASE,2900ISR,STANDALONE,UNKNOWN,Mid-Range/Low-End Routing,Enterprise Routing,,0,0,Standard Warranty,1,,TECH DATA PRODUCT MANAGEMENT INC,Mid,,1380.0,,,,,,,,,,,,,,,,,,,,,,2022-03-28,IB,,,,,,,,,,,,,,,MISS ATTACH ABOVE 36mo,N,N
203721067,ARAMCO SERVICES COMPANY,SAV,Americas,US COMMERCIAL,NOT COVERED,0,,,5541859200.0,Latest-INSTALLED,111708630,1900-01-01,19009.0,1900.0,2021-01-27,13.0,2021.0,C3850-12-L-S,Software,SOFTWARE,FEATURE,C3850,CHILD,UNKNOWN,Enterprise Switching - Access,Enterprise Networking,,0,0,Enhanced Limited Life Hardware Warranty,1,,CDW LOGISTICS LLC,Mid,,0.0,,,,,,,,,,,,,,,,,,,,,,2022-03-28,IB,,,,,,,,,,,,,,,MISS ATTACH 12mo - 24mo,N,N
203721067,ARAMCO SERVICES COMPANY,SAV,Americas,US COMMERCIAL,NOT COVERED,0,,,5453338169.0,Latest-INSTALLED,110287428,1900-01-01,19009.0,1900.0,2020-04-10,23.0,2020.0,C3850-48-L-S,Software,SOFTWARE,FEATURE,C3850,CHILD,UNKNOWN,Enterprise Switching - Access,Enterprise Networking,,0,0,Enhanced Limited Life Hardware Warranty,1,,CDW LOGISTICS LLC,Mid,,0.0,,,,,,,,,,,,,,,,,,,,,,2022-03-28,IB,,,,,,,,,,,,,,,MISS ATTACH 12mo - 24mo,N,N
203721067,ARAMCO SERVICES COMPANY,SAV,Americas,US COMMERCIAL,NOT COVERED,0,,85E24C3C7BBB00888D3B7CA0D20AB8D919532BED48DAB5ABF4DABC93B59C1B7B,5226098349.0,Latest-INSTALLED,106365432,1900-01-01,19009.0,1900.0,2018-05-03,46.0,2018.0,LIC-UC-ENC,Software,SOFTWARE,APPSWIND,UCL,CHILD,UNKNOWN,UC Infrastructure,Collaboration,2024-01-31,-23,2024,Software Warranty,1,,DATAVOX INC,,,0.0,,,,,,,,,,,,,,,,,,,,,,2022-03-28,IB,,,,,,,,,,,,,,,MISS ATTACH ABOVE 36mo,N,N
203721067,ARAMCO SERVICES COMPANY,SAV,Americas,US COMMERCIAL,NOT COVERED,0,,FOC2514LK1Z,5566483380.0,Latest-INSTALLED,112126838,1900-01-01,19009.0,1900.0,2021-06-28,8.0,2021.0,WS-C3560CX-8PC-S,Hardware,HARDWARE,SWITCH,C3560CX,PARENT,UNKNOWN,Enterprise Switching - Access,Enterprise Networking,,0,0,Enhanced Limited Life Hardware Warranty,1,,TECH DATA PRODUCT MANAGEMENT INC,Mid,136.0,1182.09999999999,121.51,304.85,244.09,220.64,152.42,143.0,175.87,193.99,,257.95,,395.92,316.74,286.46,197.96,204.0,197.96,228.24,251.53,157.2,786.02,2022-03-28,IB,,,,,,,,,,,,,,,MISS ATTACH 3mo - 12mo,Y,Y
203721067,ARAMCO SERVICES COMPANY,SAV,Americas,US COMMERCIAL,NOT COVERED,0,,,5226098315.0,Latest-INSTALLED,106365432,1900-01-01,19009.0,1900.0,2018-05-03,46.0,2018.0,CUC-PLM-ENC-K9=,Software,SOFTWARE,APPSWIND,UCL,PARENT,UNKNOWN,UC Infrastructure,Collaboration,2024-01-31,-23,2024,Software Warranty,1,,DATAVOX INC,,,0.0,,,,,,,,,,,,,,,,,,,,,,2022-03-28,IB,,,,,,,,,,,,,,,MISS ATTACH ABOVE 36mo,N,N
203721067,ARAMCO SERVICES COMPANY,SAV,Americas,US COMMERCIAL,NOT COVERED,0,,,5226098320.0,Latest-INSTALLED,106365432,1900-01-01,19009.0,1900.0,2018-05-03,46.0,2018.0,CUC-PLM-ENC-K9=,Software,SOFTWARE,APPSWIND,UCL,PARENT,UNKNOWN,UC Infrastructure,Collaboration,2024-01-31,-23,2024,Software Warranty,1,,DATAVOX INC,,,0.0,,,,,,,,,,,,,,,,,,,,,,2022-03-28,IB,,,,,,,,,,,,,,,MISS ATTACH ABOVE 36mo,N,N
203721067,ARAMCO SERVICES COMPANY,SAV,Americas,US COMMERCIAL,NOT COVERED,0,,,5229801973.0,Latest-INSTALLED,106321578,1900-01-01,19009.0,1900.0,2018-05-15,46.0,2018.0,S3850UK9-163,Software,SOFTWARE,BASE,C3850,CHILD,UNKNOWN,Enterprise Switching - Access,Enterprise Networking,2023-07-31,-17,2024,Enhanced Limited Life Hardware Warranty,1,,SYNNEX CORPORATION,Mid,,0.0,,,,,,,,,,,,,,,,,,,,,,2022-03-28,IB,,,,,,,,,,,,,,,MISS ATTACH ABOVE 36mo,N,N
203721067,ARAMCO SERVICES COMPANY,SAV,Americas,US COMMERCIAL,NOT COVERED,92649308,EXPIRED,,5184304951.0,Latest-INSTALLED,105302449,2019-12-31,20202.0,2020.0,2017-12-13,51.0,2018.0,SWAP3700-RCOVRY-K9,Hardware,SOFTWARE,BASE,AIRAP,CHILD,SPC4P,Wireless,Wireless,,0,0,Standard Warranty,1,,INGRAM MICRO,,,0.0,,,,,,,,,,,,,,,,,,,,,,2022-03-28,IB,,,,,,,,,,,,,,,EXPIRED 24mo - 36mo,N,N
203721067,ARAMCO SERVICES COMPANY,SAV,Americas,US COMMERCIAL,NOT COVERED,201305245,EXPIRED,FOC215068RQ,5193590151.0,Latest-INSTALLED,105713199,2019-02-26,20193.0,2019.0,2018-01-16,50.0,2018.0,PVDM4-32,Hardware,HARDWARE,BOARD,ICV,CHILD,SSSNT,Mid-Range/Low-End Routing,Enterprise Routing,,0,0,Standard Warranty,1,,TECH DATA PRODUCT MANAGEMENT INC,Mid,,0.0,,,,,,,,,,,,,,,,,,,,,,2022-03-28,IB,,,,,,,,,,,,,,,EXPIRED ABOVE 36mo,N,N
203721067,ARAMCO SERVICES COMPANY,SAV,Americas,US COMMERCIAL,NOT COVERED,201335185,EXPIRED,LOR2137002V,5211321780.0,Latest-INSTALLED,105897383,2019-03-13,20193.0,2019.0,2018-03-14,48.0,2018.0,CTS-LAPCONN-NA,Hardware,HARDWARE,DEVICES,CTSIMS,CHILD,ECDN,TP Endpoints,Collaboration,2024-10-31,-32,2025,Standard Warranty,1,,SCANSOURCE INC,High,,0.0,,,,,,,,,,,,,,,,,,,,,,2022-03-28,IB,,,,,,,,,,,,,,,EXPIRED ABOVE 36mo,N,N
203721067,ARAMCO SERVICES COMPANY,SAV,Americas,US COMMERCIAL,NOT COVERED,92649308,EXPIRED,,5256155650.0,Latest-INSTALLED,106656051,2018-12-31,20192.0,2019.0,2018-08-05,43.0,2019.0,LIC-CTIOS-1A,Software,HARDWARE,FUNCSYSTM,AIRCTU,CHILD,SPC4P,Wireless,Wireless,,0,0,Standard Warranty,5,,TELCOBUYCOM LLC,High,27.0,0.0,,,,,,,,,28.62,,37.1,,,,,,,,,,,2022-03-28,IB,,,,,,,,,,,,,,,EXPIRED ABOVE 36mo,Y,Y
203721067,ARAMCO SERVICES COMPANY,SAV,Americas,US COMMERCIAL,NOT COVERED,201335185,EXPIRED,LOR21330027,5211321787.0,Latest-INSTALLED,105897383,2019-03-13,20193.0,2019.0,2018-03-14,48.0,2018.0,CTS-LAPCONN-NA,Hardware,HARDWARE,DEVICES,CTSIMS,CHILD,ECDN,TP Endpoints,Collaboration,2024-10-31,-32,2025,Standard Warranty,1,,SCANSOURCE INC,High,,0.0,,,,,,,,,,,,,,,,,,,,,,2022-03-28,IB,,,,,,,,,,,,,,,EXPIRED ABOVE 36mo,N,N
203721067,ARAMCO SERVICES COMPANY,SAV,Americas,US COMMERCIAL,NOT COVERED,0,,FJB2432H01K,5511444726.0,Latest-INSTALLED,111184379,1900-01-01,19009.0,1900.0,2020-12-31,14.0,2021.0,WS-C3850-24XS-S,Hardware,HARDWARE,SWITCH,3KAGG,PARENT,UNKNOWN,Enterprise Switching - Core,Enterprise Networking,2027-04-30,-61,2027,Enhanced Limited Life Hardware Warranty,1,,TECH DATA PRODUCT MANAGEMENT INC,Mid,1742.0,16817.83,1883.97,4710.44,3767.93,3414.75,2355.22,2254.0,2731.38,3014.55,,4003.03,,5598.61,4478.47,4058.41,2799.3,3359.37,2799.3,3246.52,3582.98,2239.23,,2022-03-28,IB,,,,,,,,,,,,,,,MISS ATTACH 12mo - 24mo,Y,Y
