"SAV ID","SAV Name","Best Site Sales Level 2 Name","Coverage","Contract Number","Covered Line Status","Contract Type","Contract Line End Quarter","Contract Line End Fiscal Year","Instance Shipped Fiscal Year","Service Brand Code","Offer Type Name","Asset Type","LDoS","LDoS Fiscal Quarter","LDoS FY","Business Entity Name","Sub Business Entity Name","Product Family","Product ID","Product Type","SWSS Flag","Default Service List Price USD","Item Quantity","Annual Extended Contract Line List USD Amount","Annual Contract Line Net USD Amount","Annualized Extended Contract Line List USD Amount","Annualized Contract Line Net USD Amount","Contract Line List Price USD","Contract Line Net Price USD","Asset List Amount"
"253930249","Suez Canal Bank-SCB","EMEAR_MEA","NOT COVERED","202153245","EXPIRED","SNT","20203","2020","2019","CISCO BRANDED","Others","Hardware","2027/10/31 00:00:00","Q2 FY2028","2028","Enterprise Switching","Ent. Switching - Access","C2960X","WS-C2960X-24PS-L","SWITCH","N","211","1","231.15","150.25","231.785027472527","150.662774725275","231.15","150.25","4996.37"
"253930249","Suez Canal Bank-SCB","EMEAR_MEA","NOT COVERED","","","N/A","19009","1900","2021","N/A","Others","Hardware","2025/11/30 00:00:00","Q2 FY2026","2026","Cloud Networking","NX9K","N9500","N9K-X9464TX2=","BOARD","N","","2","","","","","","","60000"
"253930249","Suez Canal Bank-SCB","EMEAR_MEA","NOT COVERED","","","N/A","19009","1900","2021","N/A","Others","Hardware","","Q9 FY1900","1900","Cloud Networking","Optics - DC Allocation","QSFP40G","QSFP-40G-SR-BD=","DEVICES","N","96","4","","","","","","","5155.28"
"253930249","Suez Canal Bank-SCB","EMEAR_MEA","COVERED","204026186","ACTIVE","SNT","20223","2022","2021","CISCO BRANDED","Others","Hardware","","Q9 FY1900","1900","Enterprise Switching","Ent. Switching - Access","C9200","STACK-T4-50CM","CABLE","N","","112","0","0","0","0","0","0","0"
"253930249","Suez Canal Bank-SCB","EMEAR_MEA","COVERED","204026186","ACTIVE","SNT","20223","2022","2021","CISCO BRANDED","Others","Hardware","2022/12/31 00:00:00","Q2 FY2023","2023","Enterprise Routing","Ent. Access Routing","4400ISR","SM-S-BLANK","ACCESSORY","N","","57","0","0","0","0","0","0","0"
"253930249","Suez Canal Bank-SCB","EMEAR_MEA","COVERED","204026186","ACTIVE","SNT","20223","2022","2021","CISCO BRANDED","Others","Hardware","","Q9 FY1900","1900","Enterprise Switching","Ent. Switching - Access","C9300","C9300-SSD-NONE","ASSEMBLY","N","","2","0","0","0","0","0","0","0"
"253930249","Suez Canal Bank-SCB","EMEAR_MEA","COVERED","204026186","ACTIVE","SNT","20223","2022","2021","CISCO BRANDED","Others","Hardware","","Q9 FY1900","1900","Enterprise Routing","Ent. Access Routing","4300ISR","MEM-FLSH-4G","MEMORY","N","","55","0","0","0","0","0","0","0"
"253930249","Suez Canal Bank-SCB","EMEAR_MEA","COVERED","204026186","ACTIVE","SNT","20223","2022","2021","CISCO BRANDED","Others","Hardware","","Q9 FY1900","1900","Enterprise Switching","Ent. Switching - Access","C9200","C9200-STACK","ACCESSORY","N","","224","0","0","0","0","0","0","0"
"253930249","Suez Canal Bank-SCB","EMEAR_MEA","COVERED","204026186","ACTIVE","SNT","20223","2022","2021","CISCO BRANDED","Others","Hardware","","Q9 FY1900","1900","Enterprise Switching","Ent. Switching - Access","C9200","C9200-NM-NONE","BOARD","N","","74","0","0","0","0","0","0","0"
"253930249","Suez Canal Bank-SCB","EMEAR_MEA","COVERED","204026186","ACTIVE","SNT","20223","2022","2021","CISCO BRANDED","Others","Perpetual Software","","Q9 FY1900","1900","Enterprise Switching","Ent. Switching - Access","C9200","C9200-NW-A-24","FEATURE","N","","60","0","0","0","0","0","0","0"
"253930249","Suez Canal Bank-SCB","EMEAR_MEA","COVERED","204026186","ACTIVE","SNT","20223","2022","2021","CISCO BRANDED","Others","Hardware","","Q9 FY1900","1900","Enterprise Switching","Ent. Switching - Access","C3850","CAB-TA-EU","CABLE","N","","116","0","0","0","0","0","0","0"
"253930249","Suez Canal Bank-SCB","EMEAR_MEA","COVERED","204026186","ACTIVE","SNT","20223","2022","2021","CISCO BRANDED","Others","Hardware","","Q9 FY1900","1900","Enterprise Switching","Ent. Switching - Access","C9200","PWR-C5-BLANK","POWER","N","","112","0","0","0","0","0","0","0"
"253930249","Suez Canal Bank-SCB","EMEAR_MEA","COVERED","204026186","ACTIVE","SNT","20223","2022","2021","CISCO BRANDED","Others","Hardware","","Q9 FY1900","1900","Enterprise Routing","Ent. Access Routing","ICV","PVDM4-32","BOARD","N","","53","0","0","0","0","0","0","106047.7"
"253930249","Suez Canal Bank-SCB","EMEAR_MEA","COVERED","204026186","ACTIVE","SNT","20223","2022","2021","CISCO BRANDED","Others","Hardware","","Q9 FY1900","1900","Enterprise Switching","Optics - Ent. Networking Allocation","SFPGE","GLC-TE","DEVICES","N","530","53","0","0","0","0","0","0","28071.45"
"253930249","Suez Canal Bank-SCB","EMEAR_MEA","COVERED","204026186","ACTIVE","SNT","20223","2022","2021","CISCO BRANDED","ISR","Perpetual Software","","Q9 FY1900","1900","Enterprise Routing","Ent. Access Routing","4300ISR","SL-4330-SEC-K9","BASE","N","","53","0","0","0","0","0","0","96690.55"
"253930249","Suez Canal Bank-SCB","EMEAR_MEA","COVERED","204026186","ACTIVE","SNT","20223","2022","2021","CISCO BRANDED","Others","Hardware","","Q9 FY1900","1900","Enterprise Routing","Ent. Access Routing","4300ISR","PWR-4330-AC","POWER","N","","53","0","0","0","0","0","0","0"
"253930249","Suez Canal Bank-SCB","EMEAR_MEA","COVERED","204026186","ACTIVE","SNT","20223","2022","2021","CISCO BRANDED","Others","Perpetual Software","","Q9 FY1900","1900","Enterprise Switching","Ent. Switching - Access","C9200","C9200-NW-E-24","FEATURE","N","","40","0","0","0","0","0","0","0"
"253930249","Suez Canal Bank-SCB","EMEAR_MEA","COVERED","204026186","ACTIVE","SNT","20223","2022","2021","CISCO BRANDED","Others","Perpetual Software","","Q9 FY1900","1900","Enterprise Switching","Ent. Switching - Access","OS","NETWORK-PNP-LIC","BASE","N","","114","0","0","0","0","0","0","0"
"253930249","Suez Canal Bank-SCB","EMEAR_MEA","COVERED","204026186","ACTIVE","SNT","20223","2022","2021","CISCO BRANDED","Others","Perpetual Software","2026/02/28 00:00:00","Q3 FY2026","2026","Enterprise Routing","Ent. Access Routing","4300ISR","SISR4300UK9-1612","BASE","N","","55","0","0","0","0","0","0","0"
"253930249","Suez Canal Bank-SCB","EMEAR_MEA","COVERED","204026186","ACTIVE","SNT","20223","2022","2021","CISCO BRANDED","Others","Hardware","","Q9 FY1900","1900","Enterprise Switching","Ent. Switching - Access","C9200","C9200-24P-A","SWITCH","N","13320","60","15318","9537.49086438677","15360.0824175824","9563.69276236586","15318","9537.49086438677","247170"
