"SAV ID","SAV Name","Sales Level 1 Name","Sales Level 2 Name","Subscription Reference ID","Subscription Type TAV","Asset Type","Product Family","Product ID","Product Description","Business Entity","Business Sub Entity","Contract Term End Quarter","Contract Term End Quarter Name","Asset List","Asset Net","Buying Program"
"253930249","Suez Canal Bank-SCB","EMEAR-REGION","EMEAR_MEA","Sub910221","XAAS","Subscription - SaaS","SPKSTG","A-FLEX-NBR-STG","Webex Cloud Recording Storage Entitlement","Collaboration","Conferencing","20251","Q1 FY2025","0","0","FlexPlan-Multiple"
"253930249","Suez Canal Bank-SCB","EMEAR-REGION","EMEAR_MEA","Sub910221","XAAS","Subscription - SaaS","FLXMTA","A-FLEX-MTGC-ENT","Meetings Entitlement","Collaboration","Conferencing","20251","Q1 FY2025","0","0","FlexPlan-Multiple"
"253930249","Suez Canal Bank-SCB","EMEAR-REGION","EMEAR_MEA","Sub814240","XAAS","Subscription - SaaS","UMBRLLA","UMB-DNS-ADV-K9","Cisco Umbrella DNS Security Advantage","Security","Cloud Security","20223","Q3 FY2022","65856","26347","UNKNOWN"
"253930249","Suez Canal Bank-SCB","EMEAR-REGION","EMEAR_MEA","Sub910221","XAAS","Subscription - SaaS","SPKHYBR","A-FLEX-MSG-NU-ENT","Messaging Named User Entitlement (1)","Collaboration","Conferencing","20251","Q1 FY2025","0","0","UNKNOWN"
"253930249","Suez Canal Bank-SCB","EMEAR-REGION","EMEAR_MEA","Sub910221","XAAS","Subscription - SaaS","SPKCSB","A-FLEX-PROPACK-ENT","Pro Pack for Cisco Control Hub Entitlement","Collaboration","Conferencing","20251","Q1 FY2025","0","0","FlexPlan-Multiple"
"253930249","Suez Canal Bank-SCB","EMEAR-REGION","EMEAR_MEA","Sub910221","XAAS","Subscription - SaaS","SPKAUD","A-AUD-VOIP","Included VoIP (1)","Collaboration","Conferencing","20251","Q1 FY2025","0","0","FlexPlan-Multiple"
"253930249","Suez Canal Bank-SCB","EMEAR-REGION","EMEAR_MEA","Sub910221","XAAS","Subscription - SaaS","FLXMTA","A-FLEX-NUM-MC","NU Webex Meetings - Meetings","Collaboration","Conferencing","20251","Q1 FY2025","24000","36720","FlexPlan-OA"
"276125289","Gulf of Suez Petroleum (GUPCO)","EMEAR-REGION","EMEAR_MEA","Sub484128","XAAS","Subscription - SaaS","FLXMTA","A-FLEX-MTGC-ENT","Meetings Entitlement","Collaboration","Conferencing","20233","Q3 FY2023","0","0","FlexPlan-Multiple"
"276125289","Gulf of Suez Petroleum (GUPCO)","EMEAR-REGION","EMEAR_MEA","Sub484128","XAAS","Subscription - SaaS","SPKHYBR","A-FLEX-MSG-NU-ENT","Messaging Named User Entitlement (1)","Collaboration","Conferencing","20233","Q3 FY2023","0","0","UNKNOWN"
"276125289","Gulf of Suez Petroleum (GUPCO)","EMEAR-REGION","EMEAR_MEA","Sub484128","XAAS","Subscription - SaaS","SPKHYBR","A-FLEX-MC-ENT","Meetings Entitlement (1)","Collaboration","Conferencing","20233","Q3 FY2023","0","0","UNKNOWN"
"276125289","Gulf of Suez Petroleum (GUPCO)","EMEAR-REGION","EMEAR_MEA","Sub484128","XAAS","Subscription - SaaS","SPKHYBR","A-FLEX-MSG-ENT","Messaging Entitlement","Collaboration","Conferencing","20233","Q3 FY2023","0","0","UNKNOWN"
"276125289","Gulf of Suez Petroleum (GUPCO)","EMEAR-REGION","EMEAR_MEA","Sub484128","XAAS","Subscription - SaaS","SPKAUD","A-SPK-VOIP","Included  VoIP (1)","Collaboration","Conferencing","20233","Q3 FY2023","0","0","FlexPlan-Multiple"
"276125289","Gulf of Suez Petroleum (GUPCO)","EMEAR-REGION","EMEAR_MEA","Sub484128","XAAS","Subscription - SaaS","SPKSTG","A-FLEX-FILESTG-ENT","File Storage Entitlement","Collaboration","Conferencing","20233","Q3 FY2023","0","0","UNKNOWN"
