"Best Site GU Party ID","Best Site GU Party Name","Best Site Sales Level 2 Name","Coverage","Contract Number","Covered Line Status","Contract Type","Contract Line End Quarter","Contract Line End Fiscal Year","Instance Shipped Fiscal Year","Service Brand Code","Offer Type Name","Asset Type","LDoS","LDoS Fiscal Quarter","LDoS FY","Business Entity Name","Sub Business Entity Name","Product Family","Product ID","Product Type","SWSS Flag","Default Service List Price USD","Item Quantity","Annual Extended Contract Line List USD Amount","Annual Contract Line Net USD Amount","Annualized Extended Contract Line List USD Amount","Annualized Contract Line Net USD Amount","Contract Line List Price USD","Contract Line Net Price USD","Asset List Amount"
"9607032","SANLAM LTD","EMEAR_MEA","COVERED","204632715","ACTIVE","SW","20231","2023","2020","CISCO BRANDED","","Software-Other","","Q9 FY1900","1900","Collaboration","TP Endpoints","CTSINT","L-TP-RM","FEATURE","N","","6","0","0","0","0","0","0","0"
"9607032","SANLAM LTD","EMEAR_MEA","COVERED","204632715","ACTIVE","SW","20231","2023","2020","CISCO BRANDED","","Perpetual Software","","Q9 FY1900","1900","Collaboration","TP Endpoints","CTSQS","L-KIT-RM","APPSWIND","N","","5","0","0","0","0","0","0","588.5"
"9607032","SANLAM LTD","EMEAR_MEA","COVERED","204632715","ACTIVE","SW","20231","2023","2020","CISCO BRANDED","","Software-Other","","Q9 FY1900","1900","Collaboration","TP Endpoints","CTSQS","L-SX-SERIES-RM","APPSWIND","N","","1","0","0","0","0","0","0","117.7"
"192377220","TELESURE INVESTMENT HOLDINGS PTY LTD","EMEAR_MEA","COVERED","204313155","ACTIVE","SSSNT","20231","2023","2022","CISCO BRANDED","Others","Hardware","","Q9 FY1900","1900","Cloud Networking","NX9K","APIC","APIC-MR-X16G1RT-H","SERVER","N","","48","0","0","0","0","0","0","0"
"192377220","TELESURE INVESTMENT HOLDINGS PTY LTD","EMEAR_MEA","COVERED","204313155","ACTIVE","SSSNT","20231","2023","2022","CISCO BRANDED","Others","Hardware","","Q9 FY1900","1900","Cloud Networking","NX9K","APIC","APIC-RAID-M5","SERVER","N","","3","0","0","0","0","0","0","0"
"192377220","TELESURE INVESTMENT HOLDINGS PTY LTD","EMEAR_MEA","COVERED","204313155","ACTIVE","SSSNT","20231","2023","2022","CISCO BRANDED","Others","Hardware","","Q9 FY1900","1900","Cloud Networking","NX9K","APIC","APIC-HD24TB10K4KN","SERVER","N","","12","0","0","0","0","0","0","0"
"192377220","TELESURE INVESTMENT HOLDINGS PTY LTD","EMEAR_MEA","COVERED","204313155","ACTIVE","SSSNT","20231","2023","2022","CISCO BRANDED","Others","Hardware","","Q9 FY1900","1900","Cloud Networking","NX9K","APIC","APIC-TPM2-002","SERVER","N","","3","0","0","0","0","0","0","0"
"192377220","TELESURE INVESTMENT HOLDINGS PTY LTD","EMEAR_MEA","COVERED","204313155","ACTIVE","SSSNT","20231","2023","2022","CISCO BRANDED","Others","Perpetual Software","","Q9 FY1900","1900","Cloud Networking","NX9K","N9300","ND-UNI-DK9-2.0","BASE","N","","3","0","0","0","0","0","0","0"
"192377220","TELESURE INVESTMENT HOLDINGS PTY LTD","EMEAR_MEA","COVERED","204313155","ACTIVE","SSSNT","20231","2023","2022","CISCO BRANDED","Others","Hardware","","Q9 FY1900","1900","Cloud Networking","NX9K","APIC","APIC-PSU1-1050W","SERVER","N","","6","0","0","0","0","0","0","6192.66"
"192377220","TELESURE INVESTMENT HOLDINGS PTY LTD","EMEAR_MEA","COVERED","204313155","ACTIVE","SSSNT","20231","2023","2022","CISCO BRANDED","Others","Hardware","","Q9 FY1900","1900","Cloud Networking","NX9K","APIC","APIC-USBFLSHB-16GB","SERVER","N","","3","0","0","0","0","0","0","0"
"192377220","TELESURE INVESTMENT HOLDINGS PTY LTD","EMEAR_MEA","COVERED","204313155","ACTIVE","SSSNT","20231","2023","2022","CISCO BRANDED","Others","Hardware","","Q9 FY1900","1900","Cloud Networking","NX9K","APIC","SE-NODE-G2","SERVER","N","","3","0","0","0","0","0","0","0"
"192377220","TELESURE INVESTMENT HOLDINGS PTY LTD","EMEAR_MEA","COVERED","204313155","ACTIVE","SSSNT","20231","2023","2022","CISCO BRANDED","Others","Hardware","","Q9 FY1900","1900","Cloud Networking","NX9K","APIC","APIC-PCIE-C25Q-04","SERVER","N","","3","0","0","0","0","0","0","7596.54"
"192377220","TELESURE INVESTMENT HOLDINGS PTY LTD","EMEAR_MEA","COVERED","204313155","ACTIVE","SSSNT","20231","2023","2022","CISCO BRANDED","Others","Hardware","","Q9 FY1900","1900","Cloud Networking","SAN","MDS9000","CAB-C13-CBN","POWER","N","","6","0","0","0","0","0","0","0"
"192377220","TELESURE INVESTMENT HOLDINGS PTY LTD","EMEAR_MEA","COVERED","204313155","ACTIVE","SSSNT","20231","2023","2022","CISCO BRANDED","Others","Hardware","","Q9 FY1900","1900","Cloud Networking","NX9K","APIC","SE-CL-L3","SERVER","N","","1","8626.15","2726.039614","8649.84821428571","2733.52873381868","8626.15","2726.039614","178155"
"192377220","TELESURE INVESTMENT HOLDINGS PTY LTD","EMEAR_MEA","COVERED","204313155","ACTIVE","SSSNT","20231","2023","2022","CISCO BRANDED","Others","Hardware","","Q9 FY1900","1900","Cloud Networking","NX9K","APIC","APIC-CPU-I4210","SERVER","N","","6","0","0","0","0","0","0","0"
"192377220","TELESURE INVESTMENT HOLDINGS PTY LTD","EMEAR_MEA","COVERED","204313155","ACTIVE","SSSNT","20231","2023","2022","CISCO BRANDED","Others","Hardware","","Q9 FY1900","1900","Cloud Networking","NX9K","APIC","APIC-NVME-HW-H1600","SERVER","N","","3","0","0","0","0","0","0","0"
"192377220","TELESURE INVESTMENT HOLDINGS PTY LTD","EMEAR_MEA","COVERED","204313155","ACTIVE","SSSNT","20231","2023","2022","CISCO BRANDED","Others","Hardware","","Q9 FY1900","1900","Cloud Networking","NX9K","APIC","APIC-MSTOR-M2","SERVER","N","","3","0","0","0","0","0","0","0"
"192377220","TELESURE INVESTMENT HOLDINGS PTY LTD","EMEAR_MEA","COVERED","204313155","ACTIVE","SSSNT","20231","2023","2022","CISCO BRANDED","Others","Hardware","","Q9 FY1900","1900","Cloud Networking","NX9K","APIC","APIC-SD800GK3X-EP","SERVER","N","","3","0","0","0","0","0","0","14893.77"
"192377220","TELESURE INVESTMENT HOLDINGS PTY LTD","EMEAR_MEA","COVERED","204313155","ACTIVE","SSSNT","20231","2023","2022","CISCO BRANDED","Others","Hardware","","Q9 FY1900","1900","Cloud Networking","NX9K","APIC","APIC-BBLKD","DEVICES","N","","12","0","0","0","0","0","0","555.84"
"192377220","TELESURE INVESTMENT HOLDINGS PTY LTD","EMEAR_MEA","COVERED","204313155","ACTIVE","SSSNT","20231","2023","2022","CISCO BRANDED","Others","Hardware","","Q9 FY1900","1900","Cloud Networking","NX9K","APIC","APIC-M2-240GB","SERVER","N","","3","0","0","0","0","0","0","0"
